"state","puma22","cd118","stab","PUMA22name","pop20","afact"
"06","03709","30","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",118,0.0011 
"06","03709","31","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",6805,0.061 
"06","03710","28","CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",365,0.002 
"06","03710","31","CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",180721,0.998 
"06","03711","28","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",49085,0.2978 
"06","03711","31","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",115361,0.6999 
"06","03711","35","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",375,0.0023 
"06","03712","35","CA","Los Angeles County (East Central)--Pomona City",149641,0.9849 
"06","03712","38","CA","Los Angeles County (East Central)--Pomona City",2298,0.0151 
"06","03713","31","CA","Los Angeles County (East Central)--Covina & Walnut Cities",84538,0.7334 
"06","03713","35","CA","Los Angeles County (East Central)--Covina & Walnut Cities",2303,0.02 
"06","03713","38","CA","Los Angeles County (East Central)--Covina & Walnut Cities",28430,0.2466 
"06","03714","31","CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",4,0 
"06","03714","38","CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",107374,1 
"06","03715","31","CA","Los Angeles County (East Central)--West Covina City",120624,1 
"06","03716","31","CA","Los Angeles County (East Central)--La Puente & Industry Cities",100985,0.9652 
"06","03716","38","CA","Los Angeles County (East Central)--La Puente & Industry Cities",3637,0.0348 
"06","03717","28","CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",168733,0.8866 
"06","03717","31","CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",21571,0.1134 
"06","03718","28","CA","Los Angeles County (Central)--Pasadena City",127721,0.9345 
"06","03718","30","CA","Los Angeles County (Central)--Pasadena City",8954,0.0655 
"06","03719","30","CA","Los Angeles County (Central)--Glendale City",196543,1 
"06","03720","30","CA","Los Angeles County (Central)--Burbank City",122786,1 
"06","03721","29","CA","Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village)",135948,1 
"06","03722","29","CA","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)",125694,0.756 
"06","03722","32","CA","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)",40575,0.244 
"06","03723","29","CA","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM",131637,0.9217 
"06","03723","32","CA","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM",11176,0.0783 
"06","03724","29","CA","Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)",53256,0.3055 
"06","03724","32","CA","Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)",121081,0.6945 
"06","03725","32","CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",182789,1 
"06","03728","36","CA","Los Angeles County (Southwest)--Santa Monica City",106835,1 
"06","03730","30","CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",67403,0.4024 
